model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,1,0.05059051886200905,0.8733228445053101,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,2,0.0995122566819191,0.8907395005226135,0.9956052303314209,0.04937192425131798,0.49613912795818066,0.04937192425131798
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,3,0.14806203544139862,0.9021274447441101,0.9986112713813782,0.04896943271160126,0.33073591461588975,0.09834135696291924
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,4,0.19614997506141663,0.912390410900116,0.9991356730461121,0.048607151955366135,0.2478060572791137,0.14694850891828537
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,5,0.24398887157440186,0.9204740524291992,0.9994667768478394,0.04836941137909889,0.1982443341246781,0.19531792029738426
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,6,0.29137811064720154,0.9280194640159607,0.9995715618133545,0.04802767187356949,0.1648293750237163,0.24334559217095375
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,7,0.338534951210022,0.9347197413444519,0.9996746182441711,0.04783284664154053,0.14129367284108207,0.2911784388124943
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,8,0.3854372501373291,0.9408408999443054,0.9997259378433228,0.047658585011959076,0.12364810353690152,0.33883702382445335
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,9,0.43203622102737427,0.9464883804321289,0.9997600317001343,0.047448672354221344,0.10982568137780037,0.3862856961786747
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,10,0.47824549674987793,0.951850950717926,0.9997780919075012,0.04719042778015137,0.09867406614563885,0.43347612395882607
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,11,0.5240519046783447,0.9569658041000366,0.9997937083244324,0.04692135378718376,0.08953569936165653,0.4803974777460098
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,12,0.5693988800048828,0.9618024826049805,0.9998040199279785,0.04661863297224045,0.0818734188093954,0.5270161107182503
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,13,0.6143151521682739,0.9664272665977478,0.9998096823692322,0.04637467861175537,0.07549004521225347,0.5733907893300056
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,14,0.6587610244750977,0.9707707762718201,0.9998149275779724,0.04610009491443634,0.06997999760409172,0.619490884244442
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,15,0.7027397155761719,0.9748363494873047,0.9998193979263306,0.045840758830308914,0.06523149014386409,0.6653316430747509
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,16,0.7460528612136841,0.9785359501838684,0.9998282194137573,0.04534341022372246,0.06077774455546954,0.7106750532984734
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,17,0.7889519929885864,0.9819732308387756,0.9998304843902588,0.04516249895095825,0.057243659122883546,0.7558375522494316
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,18,0.8314152359962463,0.985137939453125,0.9998326897621155,0.044971153140068054,0.05408988336156867,0.8008087053894997
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,19,0.8734322786331177,0.9879902601242065,0.9998367428779602,0.04475117102265358,0.051235994040301734,0.8455598764121532
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,20,0.9150567650794983,0.9905433654785156,0.9998390078544617,0.044609133154153824,0.04875012661130184,0.8901690095663071
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,21,0.9563478231430054,0.9927896857261658,0.9998414516448975,0.04452250152826309,0.04655471623487506,0.9346915110945702
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,22,0.9972682595252991,0.994727611541748,0.9998440742492676,0.04440632835030556,0.04452796720056349,0.9790978394448757
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,23,1.0379005670547485,0.9963598251342773,0.9998462200164795,0.04437806084752083,0.04275752635288802,1.0234759002923965
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,24,1.0782101154327393,0.9976873397827148,0.9998480081558228,0.04432866722345352,0.0411131991705181,1.06780456751585
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,25,1.1181559562683105,0.9987101554870605,0.9998503923416138,0.04422740638256073,0.03955387988108879,1.1120319738984108
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,26,1.1578065156936646,0.9994319677352905,0.9998533129692078,0.04418029263615608,0.038158614619375156,1.1562122665345669
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,27,1.1971486806869507,0.9998597502708435,0.9998555779457092,0.04413508251309395,0.03686683469238612,1.2003473490476608
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,28,1.23616623878479,0.9999998211860657,0.9998597502708435,0.04401172697544098,0.03560340478049828,1.2443590760231018
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,1,0.05058904364705086,0.8869326114654541,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,2,0.09972136467695236,0.900349497795105,0.99614018201828,0.04952704533934593,0.4966543077282279,0.04952704533934593
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,3,0.14867402613162994,0.907233476638794,0.9990783929824829,0.04923097789287567,0.33113368335965127,0.0987580232322216
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,4,0.1971093714237213,0.9142068028450012,0.9994125962257385,0.048789557069540024,0.24752530393219244,0.14754758030176163
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,5,0.24524268507957458,0.920454740524292,0.9996277689933777,0.04850582405924797,0.19778703712817836,0.1960534043610096
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,6,0.2928840219974518,0.9266926050186157,0.999675452709198,0.04812829941511154,0.16432545239880064,0.24418170377612114
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,7,0.3402516543865204,0.9326350092887878,0.9997327923774719,0.04792655631899834,0.14085620363965826,0.2921082600951195
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,8,0.38731539249420166,0.9383118748664856,0.9997566938400269,0.04774055629968643,0.12326015754822121,0.3398488163948059
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,9,0.43400734663009644,0.9438146948814392,0.9997749328613281,0.04749516770243645,0.10943401781379632,0.38734398409724236
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,10,0.48032325506210327,0.9490630626678467,0.9997897148132324,0.04725262522697449,0.0983767176146093,0.43459660932421684
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,11,0.5261887907981873,0.9541727900505066,0.9997978806495667,0.04696550965309143,0.08925600559040496,0.4815621189773083
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,12,0.5715504288673401,0.9590623378753662,0.9998076558113098,0.04661993682384491,0.08156749513115254,0.5281820558011532
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,13,0.6164534687995911,0.9637683629989624,0.9998133182525635,0.04634629935026169,0.07518215355412147,0.5745283551514149
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,14,0.6608853340148926,0.9682182669639587,0.9998169541358948,0.046080488711595535,0.06972539159199612,0.6206088438630104
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,15,0.7048226594924927,0.9724474549293518,0.9998193383216858,0.04581330716609955,0.0649997649041071,0.66642215102911
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,16,0.748024582862854,0.9763916730880737,0.999822735786438,0.04531553015112877,0.060580268602532156,0.7117376811802387
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,17,0.7907873392105103,0.980080246925354,0.9998239874839783,0.04513140022754669,0.057071475464698304,0.7568690814077854
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,18,0.8330909013748169,0.983502209186554,0.9998239278793335,0.04496101289987564,0.053968916027864744,0.8018300943076611
