model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,1,0.050589367747306824,0.5186223983764648,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,2,0.09939858317375183,0.5338598489761353,0.9941816926002502,0.049405019730329514,0.49703947634714263,0.049405019730329514
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,3,0.14757119119167328,0.5424166321754456,0.9984184503555298,0.04865178093314171,0.32968346016771116,0.09805680066347122
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,4,0.19505852460861206,0.5510252118110657,0.9990293383598328,0.048072099685668945,0.24644962214354055,0.14612890034914017
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,5,0.24213416874408722,0.5585467219352722,0.9993939399719238,0.04768002778291702,0.19691573490113357,0.1938089281320572
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,6,0.2888204753398895,0.5657339096069336,0.9995315670967102,0.04738288372755051,0.1640565256732211,0.2411918118596077
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,7,0.3350760042667389,0.572801947593689,0.9995886087417603,0.04710831120610237,0.1405899276768311,0.28830012306571007
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,8,0.3808233439922333,0.580073893070221,0.9996236562728882,0.04678544029593468,0.12285339392663083,0.33508556336164474
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,9,0.4259171783924103,0.5873851776123047,0.9996461272239685,0.046350013464689255,0.10882400573659322,0.381435576826334
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,10,0.47061702609062195,0.59466952085495,0.9996774196624756,0.04612356051802635,0.09800657001547752,0.42755913734436035
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,11,0.5145633220672607,0.602092444896698,0.999691367149353,0.045614585280418396,0.08864717581727662,0.47317372262477875
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,12,0.5576266050338745,0.6093792915344238,0.9996971487998962,0.04503602907061577,0.08076377393772297,0.5182097516953945
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,13,0.6001532673835754,0.6168384552001953,0.999710738658905,0.04474395886063576,0.0745542202172809,0.5629537105560303
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,14,0.6420060992240906,0.624363362789154,0.9997200965881348,0.04435356706380844,0.06908589671875834,0.6073072776198387
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,15,0.6833070516586304,0.6318255066871643,0.9997267723083496,0.04410812258720398,0.06455095477229132,0.6514154002070427
