model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,1,0.10116398334503174,0.44328543543815613,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,2,0.1956721842288971,0.45999035239219666,0.9900864958763123,0.09656229615211487,0.4934901530978793,0.09656229615211487
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,3,0.28990328311920166,0.4719187021255493,0.9979746341705322,0.09544258564710617,0.3292221620265761,0.19200488179922104
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,4,0.3825746774673462,0.4823257029056549,0.9987301230430603,0.09417906403541565,0.2461717138700433,0.2861839458346367
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,5,0.47411325573921204,0.49196499586105347,0.9991247653961182,0.09325722604990005,0.19669820432356058,0.37944117188453674
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,6,0.5644434094429016,0.5014872550964355,0.9992896318435669,0.09241129457950592,0.16372109769288418,0.47185246646404266
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,7,0.6534939408302307,0.5109494924545288,0.999372124671936,0.09161434322595596,0.14019157256387813,0.5634668096899986
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,8,0.7413433194160461,0.5200457572937012,0.9994502067565918,0.09083037823438644,0.12252134180683419,0.6542971879243851
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,9,0.827756941318512,0.5290387868881226,0.9994971752166748,0.08991516381502151,0.10862507981122822,0.7442123517394066
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,10,0.9125552177429199,0.5377590656280518,0.9995304346084595,0.08888435363769531,0.09740161681124192,0.8330967053771019
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,11,0.9959014654159546,0.546315610408783,0.9995556473731995,0.08805746585130692,0.08841985769599031,0.9211541712284088
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,12,1.0778555870056152,0.5545247793197632,0.9995795488357544,0.08728478103876114,0.08098003303136973,1.00843895226717
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,13,1.158502459526062,0.562502920627594,0.9995971322059631,0.08665946125984192,0.074803001536392,1.0950984135270119
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,14,1.2379240989685059,0.5702143907546997,0.9996160864830017,0.08607837557792664,0.0695344534044139,1.1811767891049385
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,15,1.3161706924438477,0.5776235461235046,0.9996336102485657,0.0855359360575676,0.06498848253393763,1.266712725162506
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,16,1.3932056427001953,0.5848610401153564,0.999649167060852,0.08497598022222519,0.06099313526862539,1.3516887053847313
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,17,1.469117522239685,0.5919256210327148,0.999661386013031,0.08455143123865128,0.05755253065782766,1.4362401366233826
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,18,1.5438449382781982,0.5987856388092041,0.9996745586395264,0.08403000235557556,0.054429042886451784,1.5202701389789581
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,19,1.6174660921096802,0.605538547039032,0.9996879696846008,0.08353544026613235,0.051645867986744684,1.6038055792450905
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,20,1.6900516748428345,0.6122465133666992,0.9996968507766724,0.08322178572416306,0.04924215452282086,1.6870273649692535
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,21,1.76144540309906,0.6189674139022827,0.9997042417526245,0.08281075954437256,0.0470129584480317,1.769838124513626
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,22,1.83164381980896,0.6257122755050659,0.9997096061706543,0.08247213810682297,0.045026296714950176,1.852310262620449
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,23,1.900617003440857,0.6324960589408875,0.9997131824493408,0.08218363672494888,0.04324050378175324,1.934493899345398
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,24,1.9682694673538208,0.6393149495124817,0.9997159838676453,0.08185545355081558,0.04158752391808609,2.0163493528962135
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,25,2.034604072570801,0.6461849212646484,0.9997173547744751,0.0816350057721138,0.04012328829606874,2.0979843586683273
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,26,2.0994346141815186,0.6530845761299133,0.9997185468673706,0.08128846436738968,0.038719216982654465,2.179272823035717
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,27,2.1626107692718506,0.6600430011749268,0.9997178912162781,0.08095279335975647,0.03743290032122295,2.2602256163954735
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,28,2.224153518676758,0.6670346260070801,0.9997186660766602,0.08059532195329666,0.0362364024229974,2.34082093834877
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,29,2.283780097961426,0.6740793585777283,0.9997166991233826,0.08022288233041763,0.03512723593748238,2.4210438206791878
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,30,2.341317892074585,0.6811448335647583,0.9997147917747498,0.0797550305724144,0.03406416140345017,2.500798851251602
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,31,2.3964130878448486,0.6882486343383789,0.9997138381004333,0.07902300357818604,0.03297553496891194,2.579821854829788
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,32,2.4486844539642334,0.6953782439231873,0.999715268611908,0.07795099169015884,0.03183382471512903,2.657772846519947
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,33,2.4978253841400146,0.7025254368782043,0.9997175335884094,0.0766209214925766,0.030675051178149785,2.7343937680125237
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,34,2.543285369873047,0.7096845507621765,0.9997233748435974,0.07471318542957306,0.029376642634995582,2.8091069534420967
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,35,2.584465980529785,0.7168011665344238,0.9997348785400391,0.07198774814605713,0.027854012661950568,2.881094701588154
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,36,2.6207470893859863,0.7238085269927979,0.9997524619102478,0.0683341771364212,0.026074311944549823,2.949428878724575
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,37,2.6515448093414307,0.7306307554244995,0.9997737407684326,0.0639474168419838,0.024117041739855242,3.013376295566559
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,38,2.676584243774414,0.7371890544891357,0.9997938871383667,0.05960138887166977,0.022267705195642275,3.0729776844382286
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,39,2.696126937866211,0.7434515953063965,0.9998067021369934,0.056314896792173386,0.020887331379412923,3.129292581230402
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,40,2.7107372283935547,0.7494089603424072,0.9998126029968262,0.0543251596391201,0.02004073248786067,3.183617740869522
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,41,2.7210354804992676,0.7550466060638428,0.9998136162757874,0.053425438702106476,0.0196342308231511,3.2370431795716286
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,42,2.727776288986206,0.7603808045387268,0.9998124837875366,0.05318640545010567,0.01949808188627987,3.2902295850217342
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,43,2.7316017150878906,0.7653902769088745,0.9998106360435486,0.053251344710588455,0.019494549449305447,3.3434809297323227
