model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
ifevalg-rl,vector_single1_layers0-20_lr1e-2,16,26,10.911276817321777,0.992204487323761,0.9136450815200806,10.911276817321777,25.59572997689247,0.4262928553775318,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,17,26,11.202863693237305,0.9921504259109497,0.913899827003479,11.202863693237305,25.48370650410652,0.43960888073452115,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,18,26,11.362821578979492,0.9913809895515442,0.9133163475990296,11.362821578979492,26.175549283623695,0.4341005973115703,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,19,26,11.88018798828125,0.9908515810966492,0.9113408732414245,11.88018798828125,27.719755545258522,0.428581989797286,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,20,26,12.27219295501709,0.9904930591583252,0.9113714933395386,12.27219295501709,28.437101185321808,0.431555694620222,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,17,0.16132885217666626,0.9455358982086182,0.9142610318958759,0.16132885217666626,0.24936608551070094,0.6469558675000463,0.9411764705882353
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,17,0.16614899039268494,0.9482563734054565,0.9149079248309135,0.16614899039268494,0.2571141254156828,0.6462071662693278,0.9411764705882353
ifevalg-rl,vector_single1_layers0-20_lr5e-4,2,17,0.17114320397377014,0.9691888689994812,0.9097431637346745,0.17114320397377014,0.28861513128504157,0.5929807048291795,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,3,17,0.25221872329711914,0.9858109354972839,0.8804011754691601,0.25221872329711914,0.533741666469723,0.4725483115555613,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,4,17,0.25213536620140076,0.9862392544746399,0.8795543611049652,0.25213536620140076,0.5324077601544559,0.4735756784015586,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,5,17,0.250052809715271,0.9855251312255859,0.8798411339521408,0.250052809715271,0.5343035752885044,0.4679976352025188,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,6,17,0.2529473304748535,0.9863857626914978,0.8795990608632565,0.2529473304748535,0.5387455602176487,0.4695116751823716,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,7,17,0.2527793049812317,0.9866039156913757,0.8794556334614754,0.2527793049812317,0.5425523347221315,0.4659076900124165,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,8,17,0.2548680901527405,0.9871730804443359,0.8791334107518196,0.2548680901527405,0.5452230144292116,0.4674565882358419,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,9,17,0.25389575958251953,0.9863038063049316,0.8796040266752243,0.25389575958251953,0.5412312829867005,0.46910769492375853,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,10,17,0.25263404846191406,0.9865061044692993,0.8791277669370174,0.25263404846191406,0.5424695545807481,0.4657110179338346,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,11,17,0.25978589057922363,0.9866957068443298,0.880167193710804,0.25978589057922363,0.5454608253203332,0.47626864940604846,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,12,17,0.26085856556892395,0.9872356057167053,0.8799159824848175,0.26085856556892395,0.5494559584185481,0.4747579156657628,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,13,17,0.26705682277679443,0.9878241419792175,0.8795362897217274,0.26705682277679443,0.5504547446034849,0.48515672795075354,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,14,17,0.2613838016986847,0.9868746995925903,0.8824600428342819,0.2613838016986847,0.547609749250114,0.47731765560532574,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,15,17,0.2612241208553314,0.9870185852050781,0.8822314962744713,0.2612241208553314,0.543849125970155,0.48032461280385824,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,16,17,0.26150548458099365,0.9869681596755981,0.8815165609121323,0.26150548458099365,0.5416465606540442,0.48279727700148767,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,17,17,0.26170384883880615,0.9870560169219971,0.880909625440836,0.26170384883880615,0.5413863924331963,0.48339569020678474,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,18,17,0.2597227096557617,0.9869929552078247,0.8823244906961918,0.2597227096557617,0.5400128639303148,0.48095652345288814,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,19,17,0.25902119278907776,0.9873584508895874,0.8837677910923958,0.25902119278907776,0.5364900124259293,0.4828071106446546,0.8235294117647058
ifevalg-rl,vector_single1_layers0-20_lr5e-4,20,17,0.2617124617099762,0.9870908856391907,0.8834171928465366,0.2617124617099762,0.5392565997317433,0.48532083212364346,0.8235294117647058
ifevalg-rl,vector_single1_layers10-20_lr5e-4,10,179,2.65769624710083,0.9997024536132812,0.9863644610629992,2.65769624710083,10.79800735739991,0.24612839750285057,0.888268156424581
ifevalg-rl,vector_single1_layers10-20_lr5e-4,11,179,2.8194668292999268,0.9997879862785339,0.9866088977020778,2.8194668292999268,10.726171354297549,0.26285864137069553,0.888268156424581
ifevalg-rl,vector_single1_layers10-20_lr5e-4,12,179,2.9864232540130615,0.9998059868812561,0.9867078096009372,2.9864232540130615,10.783153566066176,0.27695267768522974,0.888268156424581
ifevalg-rl,vector_single1_layers10-20_lr5e-4,13,179,3.048610210418701,0.9998177289962769,0.9867560454968656,3.048610210418701,10.816742784809321,0.2818417957298633,0.888268156424581
ifevalg-rl,vector_single1_layers10-20_lr5e-4,14,179,3.1773996353149414,0.9998363256454468,0.9870490384905526,3.1773996353149414,10.868566081859171,0.2923476391810664,0.8715083798882681
ifevalg-rl,vector_single1_layers10-20_lr5e-4,15,179,3.2668416500091553,0.9998550415039062,0.9870636710959874,3.2668416500091553,10.915938473306596,0.29927263313161395,0.8659217877094972
ifevalg-rl,vector_single1_layers10-20_lr5e-4,16,179,3.26365327835083,0.9998573064804077,0.9869862128509564,3.26365327835083,10.932251398451626,0.2985344152269562,0.8659217877094972
ifevalg-rl,vector_single1_layers10-20_lr5e-4,17,179,3.363302707672119,0.9998595118522644,0.9869823043935755,3.363302707672119,10.968098147772253,0.30664411116299545,0.8603351955307262
ifevalg-rl,vector_single1_layers10-20_lr5e-4,18,179,3.2395598888397217,0.9998429417610168,0.9869710702574654,3.2395598888397217,10.93813286582008,0.2961711956309133,0.8603351955307262
ifevalg-rl,vector_single1_layers10-20_lr5e-4,19,179,3.0580132007598877,0.999803900718689,0.9870015443041084,3.0580132007598877,10.914876900613308,0.28016927983750856,0.8770949720670391
ifevalg-rl,vector_single1_layers10-20_lr5e-4,20,179,2.6406102180480957,0.9997227191925049,0.9867635345860813,2.6406102180480957,10.764067651703954,0.24531713321497814,0.9162011173184358
