model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,1,0.050588950514793396,0.6725339889526367,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,2,0.09981546550989151,0.6841334104537964,0.9959564805030823,0.04963957890868187,0.4973135040257132,0.04963957890868187
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,3,0.14879995584487915,0.6911348104476929,0.9989942908287048,0.0492885448038578,0.3312403187487507,0.09892812371253967
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,4,0.19752444326877594,0.6970551609992981,0.9994760751724243,0.04903958737850189,0.2482709813882256,0.14796771109104156
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,5,0.24602830410003662,0.7024571299552917,0.9997128248214722,0.04879080131649971,0.19831377326675825,0.19675851240754128
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,6,0.29422658681869507,0.7077959775924683,0.999749481678009,0.048573024570941925,0.16508713606113726,0.2453315369784832
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,7,0.3422621190547943,0.7128109335899353,0.9998132586479187,0.04842543601989746,0.14148640274194296,0.29375697299838066
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,8,0.39013609290122986,0.7178828120231628,0.9998428821563721,0.04831063374876976,0.12383020855494262,0.3420676067471504
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,9,0.43786391615867615,0.7229112386703491,0.9998649954795837,0.04820903018116951,0.11010048648014008,0.39027663692831993
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,10,0.4853943884372711,0.7279530167579651,0.9998719692230225,0.04809988662600517,0.09909444314109794,0.4383765235543251
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,11,0.5327442288398743,0.7330335974693298,0.9998838305473328,0.04798012971878052,0.09006222333607258,0.4863566532731056
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,12,0.5798290371894836,0.7380790114402771,0.9998905658721924,0.04779777303338051,0.08243425211173162,0.5341544263064861
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,13,0.6266641616821289,0.7432758212089539,0.9998914003372192,0.0476694293320179,0.07606854236575586,0.581823855638504
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,14,0.6732322573661804,0.7484498023986816,0.9998980760574341,0.047481879591941833,0.0705282301500235,0.6293057352304459
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,15,0.7194884419441223,0.7537122368812561,0.9998984336853027,0.04730606824159622,0.06574958746212932,0.6766118034720421
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,16,0.7654145359992981,0.7590088248252869,0.9999011754989624,0.0470941960811615,0.061527700175796875,0.7237059995532036
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,17,0.8110443949699402,0.7643030285835266,0.9999014139175415,0.04695044457912445,0.05788887127549236,0.770656444132328
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,18,0.8564000129699707,0.7696200609207153,0.9999022483825684,0.04682927206158638,0.054681540579598786,0.8174857161939144
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,19,0.9014144539833069,0.774957001209259,0.9999014735221863,0.046671535819768906,0.05177589022844003,0.8641572520136833
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,20,0.9461501240730286,0.780284583568573,0.999902069568634,0.04656294360756874,0.049213060827094264,0.9107201956212521
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,21,0.9906101226806641,0.7856292724609375,0.9999025464057922,0.04646696522831917,0.04690742014888373,0.9571871608495712
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,22,1.0345983505249023,0.7909022569656372,0.9999042749404907,0.04616339132189751,0.044619625865899126,1.0033505521714687
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,23,1.078316330909729,0.7961991429328918,0.999905526638031,0.04607103392481804,0.04272497096093304,1.0494215860962868
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,24,1.1217119693756104,0.8014745116233826,0.9999054074287415,0.04596246778964996,0.04097528513958401,1.0953840538859367
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,25,1.1647876501083374,0.8067367076873779,0.9999078512191772,0.045784641057252884,0.039307285798398046,1.1411686949431896
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,26,1.207632303237915,0.8119556307792664,0.9999094009399414,0.04571986943483353,0.03785909776696846,1.1868885643780231
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,27,1.2501513957977295,0.8172001838684082,0.9999095797538757,0.0456240214407444,0.0364947970254686,1.2325125858187675
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,28,1.2923502922058105,0.8224385976791382,0.9999101161956787,0.04551180079579353,0.0352163040239756,1.278024386614561
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,29,1.3342341184616089,0.8276670575141907,0.9999103546142578,0.045428317040205,0.034048235172238366,1.323452703654766
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,30,1.3758645057678223,0.8328722715377808,0.9999108910560608,0.045395273715257645,0.03299400015405159,1.3688479773700237
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,31,1.4171721935272217,0.8380669951438904,0.9999113082885742,0.04530084505677223,0.03196566039305517,1.414148822426796
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,32,1.4581249952316284,0.8432734608650208,0.9999114871025085,0.04520000144839287,0.030998715196712396,1.4593488238751888
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,33,1.4986846446990967,0.8484328389167786,0.9999126195907593,0.04501941427588463,0.030039284405241604,1.5043682381510735
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,34,1.5389387607574463,0.8535646200180054,0.9999131560325623,0.04495401307940483,0.02921104739559554,1.5493222512304783
